Codigo;Nombre del producto;Empresa;Tamano detectado;Unidad;Como se detecto;Uds por pallet
UPLB-00021;STRIM (S-METOLACHLOR 960EC)4x5Lt_BO (6303840);UPL BOLIVIA SRL;5.0;lt;corregido por Harold;720
UPLB-00022;TRICOR (METRIBUZIN 48%SC) 2x5LTR_BO (6303927);UPL BOLIVIA SRL;5.0;lt;corregido por Harold;720
UPLB-00023;TRIPZIN (PENDI34.8%+METRI13.2%+ZC)20LTR_BO (5900577);UPL BOLIVIA SRL;20.0;lt;corregido por Harold;960
UPLB-00024;TSUNAMI (FLUROXYPYR 200EC)_5LT_BO (5900577);UPL BOLIVIA SRL;5.0;lt;corregido por Harold;720
UPLB-00025;UNIZEB (MANCOZEB 80WP) X 25KG BO (6181651);UPL BOLIVIA SRL;25.0;kg;x;600
UPLB-00026;UNIZEB GOLD (MANCOZEB750WG) 15 KG BAG_BO (6304327);UPL BOLIVIA SRL;15.0;kg;suelto;600
UPLB-00027;UNIZEB UPLIIFT TRIO (MCZPTH TRF 602WG)10 Kg_BO (6398675);UPL BOLIVIA SRL;10.0;kg;corregido por Harold;960
UPLB-00028;UP STAGE (CLOMAZONE 50%EC) 5 Lts_BO (751070);UPL BOLIVIA SRL;5.0;lt;corregido por Harold;720
UPLB-00029;UPLIFT TRIO (MCZ TH TRF PTH TRF 602WG)2x10 Kk_BO (6307251);UPL BOLIVIA SRL;10.0;kg;corregido por Harold;960
UPLB-00036;FITOBOLIC 5 L (4X5 L) (6032208);UPL BOLIVIA SRL;5.0;lt;corregido por Harold;720
ZEBI-00001;EVOLUTION x 1 Kg.;ZENTTA-BIO SRL;1.0;kg;x;600
ZEBI-00002;EVOLUTION X10 Kgs.;ZENTTA-BIO SRL;10.0;kg;x;600
ZEBI-00003;FOIL MAX x 20 Lts.;ZENTTA-BIO SRL;20.0;lt;x;960
ZEBI-00004;NOVASPRING x 500 grs.;ZENTTA-BIO SRL;500.0;gr;x;600
ZEBI-00005;SMART FOIL x 1 Lt.;ZENTTA-BIO SRL;1.0;lt;x;600
ZEBI-00006;SMART FOIL X 20 Lts.;ZENTTA-BIO SRL;20.0;lt;x;960
ZEBI-00007;ZELENO x 20 Lts.;ZENTTA-BIO SRL;20.0;lt;x;960
